Loan_ID,Gender,Married,Dependents,LoanAmount,Credit_History,Property_Area,Loan_Status
LP002832,Male,Yes,2,258,0,Urban,N
LP002833,Male,Yes,0,120,,Rural,Y
LP002836,Male,No,0,70,1,Urban,Y
LP002837,Male,Yes,3+,123,0,Rural,N
LP002840,Female,No,0,9,1,Urban,N
LP002841,Male,Yes,0,104,0,Urban,N
LP002842,Male,Yes,1,186,1,Urban,Y
LP002847,Male,Yes,,165,0,Urban,N
LP002855,Male,Yes,2,275,1,Urban,Y
LP002862,Male,Yes,2,187,1,Semiurban,N
LP002863,Male,Yes,3+,150,1,Semiurban,N
LP002868,Male,Yes,2,108,1,Urban,Y
LP002872,,Yes,0,136,0,Semiurban,N
LP002874,Male,No,0,110,1,Urban,Y
LP002877,Male,Yes,1,107,1,Rural,Y
LP002888,Male,No,0,161,1,Urban,Y
LP002892,Male,Yes,2,205,1,Semiurban,Y
LP002893,Male,No,0,90,1,Urban,N
LP002894,Female,Yes,0,36,1,Semiurban,Y
LP002898,Male,Yes,1,61,,Rural,N
LP002911,Male,Yes,1,146,0,Rural,N
LP002912,Male,Yes,1,172,1,Rural,N
LP002916,Male,Yes,0,104,1,Urban,Y
LP002917,Female,No,0,70,1,Semiurban,Y
LP002925,,No,0,94,1,Semiurban,Y
LP002926,Male,Yes,2,106,0,Semiurban,N
LP002928,Male,Yes,0,56,1,Semiurban,Y
LP002931,Male,Yes,2,205,1,Semiurban,N
LP002933,,No,3+,292,1,Semiurban,Y
LP002936,Male,Yes,0,142,1,Rural,Y
LP002938,Male,Yes,0,260,1,Urban,Y
LP002940,Male,No,0,110,1,Rural,Y
LP002941,Male,Yes,2,187,1,Rural,N
LP002943,Male,No,,88,0,Semiurban,N
LP002945,Male,Yes,0,180,1,Rural,Y
LP002948,Male,Yes,2,192,1,Urban,Y
LP002949,Female,No,3+,350,,Urban,N
LP002950,Male,Yes,0,155,1,Rural,Y
LP002953,Male,Yes,3+,128,1,Urban,Y
LP002958,Male,No,0,172,1,Rural,Y
LP002959,Female,Yes,1,496,1,Semiurban,Y
LP002960,Male,Yes,0,,1,Urban,N
LP002961,Male,Yes,1,173,1,Semiurban,Y
LP002964,Male,Yes,2,157,1,Rural,Y
LP002974,Male,Yes,0,108,1,Rural,Y
LP002978,Female,No,0,71,1,Rural,Y
LP002979,Male,Yes,3+,40,1,Rural,Y
LP002983,Male,Yes,1,253,1,Urban,Y
LP002984,Male,Yes,2,187,1,Urban,Y
LP002990,Female,No,0,133,0,Semiurban,N
